file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,175,css,71a0b874,Nomin Batjargal,2025-02-08,20:36:49,-08:00,2025-02-08T20:36:49-08:00,0,13
style.css,176,css,71a0b874,Nomin Batjargal,2025-02-08,20:36:49,-08:00,2025-02-08T20:36:49-08:00,0,19
style.css,177,css,71a0b874,Nomin Batjargal,2025-02-08,20:36:49,-08:00,2025-02-08T20:36:49-08:00,0,8
style.css,178,css,71a0b874,Nomin Batjargal,2025-02-08,20:36:49,-08:00,2025-02-08T20:36:49-08:00,0,0
style.css,179,css,71a0b874,Nomin Batjargal,2025-02-08,20:36:49,-08:00,2025-02-08T20:36:49-08:00,0,0
style.css,180,css,71a0b874,Nomin Batjargal,2025-02-08,20:36:49,-08:00,2025-02-08T20:36:49-08:00,0,18
style.css,181,css,71a0b874,Nomin Batjargal,2025-02-08,20:36:49,-08:00,2025-02-08T20:36:49-08:00,0,17
style.css,182,css,71a0b874,Nomin Batjargal,2025-02-08,20:36:49,-08:00,2025-02-08T20:36:49-08:00,0,12
style.css,183,css,71a0b874,Nomin Batjargal,2025-02-08,20:36:49,-08:00,2025-02-08T20:36:49-08:00,0,0
style.css,184,css,71a0b874,Nomin Batjargal,2025-02-08,20:36:49,-08:00,2025-02-08T20:36:49-08:00,0,0
style.css,185,css,71a0b874,Nomin Batjargal,2025-02-08,20:36:49,-08:00,2025-02-08T20:36:49-08:00,0,0
style.css,186,css,71a0b874,Nomin Batjargal,2025-02-08,20:36:49,-08:00,2025-02-08T20:36:49-08:00,0,5
style.css,187,css,71a0b874,Nomin Batjargal,2025-02-08,20:36:49,-08:00,2025-02-08T20:36:49-08:00,0,17
style.css,188,css,71a0b874,Nomin Batjargal,2025-02-08,20:36:49,-08:00,2025-02-08T20:36:49-08:00,0,15
style.css,189,css,71a0b874,Nomin Batjargal,2025-02-08,20:36:49,-08:00,2025-02-08T20:36:49-08:00,0,0
style.css,190,css,71a0b874,Nomin Batjargal,2025-02-08,20:36:49,-08:00,2025-02-08T20:36:49-08:00,0,0
style.css,191,css,71a0b874,Nomin Batjargal,2025-02-08,20:36:49,-08:00,2025-02-08T20:36:49-08:00,0,10
style.css,192,css,71a0b874,Nomin Batjargal,2025-02-08,20:36:49,-08:00,2025-02-08T20:36:49-08:00,0,36
style.css,193,css,71a0b874,Nomin Batjargal,2025-02-08,20:36:49,-08:00,2025-02-08T20:36:49-08:00,0,0
style.css,194,css,71a0b874,Nomin Batjargal,2025-02-08,20:36:49,-08:00,2025-02-08T20:36:49-08:00,0,11
style.css,195,css,71a0b874,Nomin Batjargal,2025-02-08,20:36:49,-08:00,2025-02-08T20:36:49-08:00,0,18
style.css,196,css,71a0b874,Nomin Batjargal,2025-02-08,20:36:49,-08:00,2025-02-08T20:36:49-08:00,0,0
style.css,197,css,53c41710,Nomin Batjargal,2025-02-08,23:15:57,-08:00,2025-02-08T23:15:57-08:00,0,0
